dir, x_pos, y_pos, orientation(deg), radius, residual, left, adjust_amount, mot0_0, mot0_1, mot1_0, mot1_1, mot2_0, mot2_1
2, 279.184450, 230.280040, 9501.422142, 1.921941, 0.899400, True, 14.292241, 0, 48, 0, 54, 134, 132
2, 280.861300, 230.603590, 9595.838138, 1.323461, 0.458050, False, 14.424721, 0, 48, 0, 54, 148, 132
2, 281.423460, 232.737270, 9335.491273, 158.719908, 0.523445, False, 7.101264, 0, 48, 0, 54, 155, 132
2, 282.241090, 235.361920, 9190.802241, 2.407083, 2.469089, False, 14.188339, 0, 48, 0, 54, 169, 132
2, 283.713350, 235.691160, 9492.101838, 1423.008934, 0.968569, True, 3.539731, 0, 48, 0, 54, 166, 132
2, 283.825410, 235.189510, 9288.167251, 4498.919260, 1.315320, False, 2.419442, 0, 48, 0, 54, 168, 132
2, 284.509220, 234.847810, 9105.652118, 6.524192, 0.416072, False, 13.412589, 0, 48, 0, 54, 182, 132
2, 285.788570, 233.692990, 9081.944843, 1.432477, 0.762045, False, 14.400222, 0, 48, 0, 54, 196, 132
2, 286.947330, 233.466090, 8697.267855, 7762.893223, 2.645816, True, 2.018427, 0, 48, 0, 54, 194, 132
2, 287.105500, 233.476100, 8738.566080, 1.196670, 0.423865, True, 14.453425, 0, 48, 0, 54, 180, 132
2, 286.920960, 235.169890, 8636.972642, 1.089953, 3.806258, False, 14.477763, 0, 48, 0, 54, 194, 132
2, 287.267610, 234.712080, 8597.771442, 2834.710966, 0.791522, True, 2.819720, 0, 48, 0, 54, 191, 132
2, 289.129240, 233.087710, 8896.937344, 1.900865, 0.479853, True, 14.296824, 0, 48, 0, 54, 177, 132
2, 288.301330, 232.546830, 7831.716557, 1.338136, 3.208313, False, 14.421414, 0, 48, 0, 54, 191, 132
1, 253.746340, 217.329010, -9525.213641, 32.020135, 19.466123, True, 10.715263, 0, 59, 0, 54, 191, 132
4, 268.812960, 229.967440, 8439.942769, 104.062932, 14.978751, False, 8.020091, 0, 59, 0, 46, 191, 132
3, 297.223450, 229.879790, 3323.854220, 19.741210, 1.595371, False, 11.721404, 0, 59, 0, 46, 203, 132
0, 284.477290, 234.826260, 5373.036056, 10.086374, 3.591947, True, 12.860861, 0, 59, 0, 46, 203, 145
1, 253.218440, 243.261510, 9056.161170, 24.840856, 10.347360, True, 11.259057, 0, 70, 0, 46, 203, 145
2, 251.855320, 244.546010, 8849.678066, 6.038793, 0.764373, True, 13.495419, 0, 70, 0, 46, 190, 145
2, 252.641070, 243.723660, 8995.805222, 1.007201, 0.875477, False, 14.496748, 0, 70, 0, 46, 204, 145
2, 250.067690, 245.628780, 8365.704055, 24.374183, 1.086027, True, 11.298389, 0, 70, 0, 46, 193, 145
3, 272.284760, 251.270280, 4857.411282, 57.701530, 29.627920, False, 9.373824, 0, 70, 0, 46, 202, 145
