mot0set, mot1set, mot2set, radius, mean delta orient, total delta orient
0.000000, 0.000000, 0.000000, 55.908364, 0.011131, 11.131330
128.000000, 128.000000, 128.000000, 243.218916, 0.008162, 8.165660
-128.000000, -128.000000, -128.000000, 83300.935696, 0.017778, 17.800990
-128.000000, 128.000000, 128.000000, 8.668387, -0.114472, -114.471580
128.000000, 298.000000, 298.000000, 93.720417, -0.015205, -15.204920
256.000000, 511.000000, 511.000000, 133.812096, -0.015245, -15.245050
-44.000000, 298.000000, 298.000000, 5.945157, 0.246784, 246.784230
85.000000, 170.000000, 170.000000, 88.605591, 0.009897, 9.897020
-1.000000, 256.000000, 256.000000, 10.375613, -0.123942, -123.942170
84.000000, 596.000000, 596.000000, 31.002470, -0.055872, -55.872250
354.000000, 780.000000, 780.000000, 212.324255, -0.009220, -9.220220
463.000000, 1002.000000, 1002.000000, 123.826279, -0.013832, -13.831970
115.000000, 442.000000, 442.000000, 48.261555, -0.033398, -33.466090
