spx00, spx01, spx02, spx10, spx11, spx12, spx20, spx21, spx22, spx30, spx31, spx32
0,0,0,0,0,128,128,0,0,84,-128,84
0,0,0,84,-128,84,0,0,128,78,-21,35
0,0,0,78,-21,35,84,-128,84,27,-24,83
0,0,0,39,-10,17,42,-64,42,13,-12,41
0,0,0,39,-10,17,42,-64,42,20,-18,30
0,0,0,39,-10,17,42,-64,42,34,-30,8
0,0,0,19,-5,8,17,-15,4,21,-32,21
0,0,0,9,-2,4,8,-7,2,10,-16,10
0,0,0,8,-7,2,10,-16,10,7,-4,4
0,0,0,8,-7,2,10,-16,10,6,-5,4
0,0,0,4,-3,1,3,-2,2,5,-8,5
