mot0set, mot1set, mot2set, radius, mean delta orient, total delta orient
0.000000, 0.000000, 0.000000, 24.347822, -0.044386, -44.385530
128.000000, 128.000000, 128.000000, 18.131732, -0.078286, -78.285740
-128.000000, -128.000000, -128.000000, 11.979422, 0.062055, 62.054530
-128.000000, 128.000000, 128.000000, 64.681926, 0.016731, 16.731230
128.000000, -128.000000, -128.000000, 40.898847, -0.037531, -37.530580
256.000000, -256.000000, -256.000000, 18.188800, -0.097423, -97.422760
298.000000, 128.000000, 128.000000, 9.130001, 0.276539, 276.538980
-21.000000, -64.000000, -64.000000, 21.076099, -0.301016, -301.016410
191.000000, 64.000000, 64.000000, 7.798055, 0.299423, 299.422990
32.000000, -32.000000, -32.000000, 11.912079, -0.039258, -39.311190
-22.000000, -234.000000, -234.000000, 27.436457, 0.046038, 46.037930
90.000000, 37.000000, 37.000000, 13.315836, -0.052292, -52.291930
16.000000, -143.000000, -143.000000, 91.760053, -0.019162, -19.162320
-21.000000, -233.000000, -233.000000, 22.682100, 0.046009, 46.293120
64.000000, -148.000000, -148.000000, 36.838143, -0.010827, -10.826770
138.000000, -278.000000, -278.000000, 48.645639, -0.022988, -22.941340
