mot0set, mot1set, mot2set, radius, mean delta orient, total delta orient
0.000000, 0.000000, 0.000000, 0.010020, 0.000135, 0.135300
128.000000, 128.000000, 128.000000, 0.008556, -0.000092, -0.091980
-128.000000, -128.000000, -128.000000, 0.008659, 0.000137, 0.100890
-128.000000, 128.000000, 128.000000, 0.011541, 0.000004, 0.030750
128.000000, -128.000000, -128.000000, 0.010577, 0.000140, 0.090880
-64.000000, 64.000000, 64.000000, 335.738366, -0.000010, -0.009540
-42.000000, 42.000000, 42.000000, nan, nan, nan
