mot0set, mot1set, mot2set, radius
0.000000, 0.000000, 0.000000, 23.213273
320.000000, 0.000000, 0.000000, 12.075619
0.000000, 320.000000, 0.000000, 9.887377
0.000000, 0.000000, 320.000000, 59.133464
212.000000, 212.000000, -320.000000, 1.859762
354.000000, 354.000000, -212.000000, 3.873564
56.000000, 590.000000, -354.000000, 12.176797
254.000000, 147.000000, -88.000000, 17.963120
283.000000, 283.000000, -266.000000, 2.483709
106.000000, 266.000000, -160.000000, 5.018269
266.000000, 106.000000, -160.000000, 5.623041
134.000000, 400.000000, -336.000000, 8.338267
233.000000, 179.000000, -204.000000, 3.488294
378.000000, 182.000000, -366.000000, 2.426337
349.000000, 271.000000, -430.000000, 4.691169
262.000000, 202.000000, -260.000000, 8.342309
222.000000, 195.000000, -262.000000, 1.369239
296.000000, 214.000000, -278.000000, 7.109984
295.000000, 197.000000, -343.000000, 9.019674
250.000000, 207.000000, -283.000000, 3.930327
233.000000, 247.000000, -225.000000, 2.823038
247.000000, 247.000000, -293.000000, 5.459922
190.000000, 252.000000, -256.000000, 8.371159
269.000000, 223.000000, -272.000000, 5.856024
217.000000, 243.000000, -262.000000, 1.840350
219.000000, 217.000000, -219.000000, 3.423713
196.000000, 263.000000, -187.000000, 7.988698
236.000000, 221.000000, -259.000000, 6.536203
225.000000, 245.000000, -243.000000, 3.046442
218.000000, 230.000000, -240.000000, 3.949763
233.000000, 225.000000, -272.000000, 6.227910
207.000000, 253.000000, -224.000000, 5.064184
226.000000, 232.000000, -260.000000, 4.040346
214.000000, 246.000000, -236.000000, 3.199168
218.000000, 258.000000, -254.000000, 3.089358
226.000000, 250.000000, -270.000000, 6.781141
217.000000, 247.000000, -244.000000, 5.634689
221.000000, 244.000000, -252.000000, 6.279681
217.000000, 250.000000, -258.000000, 2.279435
215.000000, 244.000000, -249.000000, 3.025118
211.000000, 246.000000, -260.000000, 5.719734
218.000000, 244.000000, -254.000000, 5.868470
214.000000, 246.000000, -258.000000, 6.170801
217.000000, 244.000000, -255.000000, 3.594461
215.000000, 246.000000, -257.000000, 3.012969
217.000000, 248.000000, -269.000000, 5.429641
215.000000, 245.000000, -254.000000, 5.190580
217.000000, 246.000000, -260.000000, 3.769263
216.000000, 244.000000, -259.000000, 2.669444
216.000000, 243.000000, -255.000000, 4.980103
216.000000, 245.000000, -265.000000, 5.538132
215.000000, 240.000000, -258.000000, 4.109800
216.000000, 243.000000, -257.000000, 2.273129
216.000000, 242.000000, -259.000000, 3.573450
216.000000, 243.000000, -259.000000, 2.152335
216.000000, 243.000000, -263.000000, 4.056037
