mot0set, mot1set, mot2set, radius
0.000000, 0.000000, 0.000000, 5.943547
128.000000, 0.000000, 0.000000, 8.683531
0.000000, 128.000000, 0.000000, 15.504809
0.000000, 0.000000, 128.000000, 1512.862164
84.000000, 84.000000, -128.000000, 4.110483
126.000000, 126.000000, -256.000000, 9.043669
140.000000, -72.000000, -84.000000, 18.505138
35.000000, 78.000000, -21.000000, 32.138838
42.000000, 42.000000, -64.000000, 2.602768
106.000000, 42.000000, -64.000000, 7013.696429
42.000000, 106.000000, -64.000000, 5.123107
6.000000, 112.000000, -106.000000, 55.992671
81.000000, 59.000000, -74.000000, 3.996980
96.000000, 16.000000, -112.000000, 15532.731922
55.000000, 83.000000, -76.000000, 1.384070
34.000000, 38.000000, -14.000000, 3.508843
5.000000, 49.000000, -28.000000, 1.157995
-33.000000, 44.000000, -5.000000, 22.127186
34.000000, 78.000000, -98.000000, 10.350612
34.000000, 48.000000, -35.000000, 10.801286
30.000000, 66.000000, -52.000000, 6.462027
23.000000, 45.000000, -46.000000, 4.792728
19.000000, 43.000000, -21.000000, 2.437548
0.000000, 24.000000, -10.000000, 0.438553
-15.000000, 3.000000, 11.000000, 13.868527
-7.000000, 31.000000, 8.000000, 30.461175
15.000000, 41.000000, -32.000000, 0.150601
-7.000000, 33.000000, -25.000000, 57.693315
12.000000, 40.000000, -22.000000, 1.058832
13.000000, 21.000000, -14.000000, 8.495944
7.000000, 42.000000, -24.000000, 4.472237
7.000000, 32.000000, -21.000000, 7.654857
13.000000, 40.000000, -27.000000, 93.313017
10.000000, 45.000000, -30.000000, 0.864836
7.000000, 38.000000, -27.000000, 3.139881
13.000000, 50.000000, -37.000000, 0.899837
17.000000, 52.000000, -39.000000, 0.295380
