mot0set, mot1set, mot2set, radius, mean delta orient, total delta orient
0.000000, 0.000000, 0.000000, 16.675759, 0.021095, 21.095410
0.000000, -128.000000, 0.000000, 15.633929, 0.055009, 54.917360
0.000000, 0.000000, -128.000000, 2.843508, -0.028823, -28.822810
-128.000000, 0.000000, 0.000000, 19.558845, -0.071669, -71.381300
128.000000, -84.000000, -84.000000, 90.277936, -0.004889, -4.889000
-64.000000, -21.000000, -21.000000, 9.656116, 0.265292, 265.292480
64.000000, 21.000000, 21.000000, 41750.033143, 0.004609, 4.609070
-64.000000, -105.000000, -105.000000, 6.126210, -0.080071, -82.392870
-42.000000, -154.000000, -154.000000, 12.460301, -0.090139, -90.139100
-70.000000, -44.000000, -258.000000, 11.841403, -0.097111, -97.110980
-46.000000, 56.000000, -172.000000, 1.458847, 0.236839, 236.838820
-48.000000, 161.000000, -181.000000, 22.350069, -0.138771, -138.771030
46.000000, -56.000000, 172.000000, 9.698997, 0.076639, 76.638610
58.000000, -62.000000, 218.000000, 8.727191, 0.077386, 77.385860
-50.000000, -54.000000, -182.000000, 8.443083, -0.089697, -89.697490
-134.000000, -44.000000, -494.000000, 15.392765, -0.096360, -96.360360
10.000000, -57.000000, 40.000000, 21.252134, 0.074325, 74.324860
-32.000000, -52.000000, -116.000000, 10.554307, -0.085269, -85.268860
-25.000000, -27.000000, -155.000000, 14.814132, -0.088110, -88.110260
29.000000, -31.000000, 45.000000, 10.174029, 0.065090, 64.941330
23.000000, -27.000000, 23.000000, 4.920474, 0.062275, 61.834590
66.000000, 14.000000, 76.000000, 29.664052, 0.027378, 27.377530
-7.000000, -35.000000, -68.000000, 14.130420, -0.093316, -93.316120
11.000000, -13.000000, -52.000000, 17.504491, 0.013421, 13.420960
14.000000, -15.000000, -41.000000, 20.329683, 0.010484, 11.758330
-16.000000, -26.000000, -122.000000, 17.884431, -0.083666, -83.061680
-16.000000, -11.000000, -159.000000, 16.255955, 0.280785, 280.784940
16.000000, 11.000000, 159.000000, 29.438177, 0.021589, 21.588970
-18.000000, -37.000000, -359.000000, 6.274248, -0.075518, -75.518060
12.000000, -6.000000, -236.000000, 143.139950, 0.002895, 2.894980
-9.000000, -21.000000, -150.000000, 8.448138, -0.089130, -89.091840
-29.000000, -25.000000, -372.000000, 16.722805, -0.085058, -85.057660
1.000000, -16.000000, -132.000000, 25.050998, 0.014896, 14.896080
-9.000000, -18.000000, -243.000000, 15.830239, 0.266173, 266.444260
-4.000000, -10.000000, -139.000000, 8.826933, -0.072933, -72.933290
5.000000, -6.000000, -90.000000, 26.723319, 0.007546, 7.504730
9.000000, 18.000000, 243.000000, 21.048105, 0.033890, 33.890400
-3.000000, 10.000000, 74.000000, 19.555080, -0.049354, -48.970250
-13.000000, -18.000000, -371.000000, 8.399182, -0.077222, -77.221550
-7.000000, -28.000000, -498.000000, 16.362795, -0.087777, -87.776960
-4.000000, 0.000000, -69.000000, 6.309903, 0.223758, 223.757850
4.000000, 0.000000, 69.000000, 20.990675, 0.016505, 16.504570
-14.000000, -18.000000, -493.000000, 7.856446, -0.084304, -84.303650
-14.000000, -14.000000, -521.000000, 6.436253, -0.098394, -98.393990
-5.000000, -2.000000, -389.000000, 8.187438, -0.113894, -113.882750
-11.000000, -14.000000, -375.000000, 4.406782, 0.242520, 242.519780
11.000000, 14.000000, 375.000000, 25.464891, 0.044722, 44.721510
-29.000000, -34.000000, -1135.000000, 7.183154, -0.083867, -83.866520
-14.000000, -14.000000, -695.000000, 15.780942, -0.089262, -89.262390
-14.000000, -17.000000, -543.000000, 13.764158, -0.091018, -91.018340
-7.000000, -7.000000, -324.000000, 10.371191, 0.276236, 276.235700
-14.000000, -17.000000, -631.000000, 8.318027, -0.071489, -71.488900
-7.000000, -9.000000, -310.000000, 11.070091, -0.084429, -84.429230
7.000000, 7.000000, 324.000000, 17.903572, 0.054507, 54.649780
