mot0set, mot1set, mot2set, radius, mean delta orient, total delta orient
0.000000, 0.000000, 0.000000, 39.870959, 0.041691, 41.690660
128.000000, 0.000000, 0.000000, 12.594846, 0.060416, 60.416200
0.000000, 128.000000, 0.000000, 78.902720, 0.025231, 25.231090
0.000000, 0.000000, 128.000000, 15.124109, 0.047543, 47.542900
84.000000, -128.000000, 84.000000, 3.557949, -0.248044, -248.044360
126.000000, -256.000000, 126.000000, 0.883033, 0.117692, 117.691780
168.000000, -170.000000, 168.000000, 8.217752, 0.120228, 120.228480
280.000000, -284.000000, 68.000000, 3.545482, -0.238289, -238.288910
254.000000, -472.000000, 240.000000, 3.531759, 0.142988, 142.644830
272.000000, -504.000000, 120.000000, 6.794352, -0.225974, -225.973860
194.000000, -253.000000, 156.000000, 12.718180, 0.103584, 103.584060
203.000000, -270.000000, 97.000000, 4.846088, 0.132829, 132.829400
190.000000, -364.000000, 183.000000, 15.446858, -0.236997, -237.442550
147.000000, -213.000000, 147.000000, 1.352307, 0.099636, 99.397610
126.000000, -128.000000, 63.000000, 4.037276, 0.121137, 121.137270
63.000000, -128.000000, 127.000000, 4.681046, -0.252940, -252.939570
168.000000, -234.000000, 104.000000, 1.147598, 0.104690, 104.219220
168.000000, -340.000000, 187.000000, 44981.789305, 0.112422, 112.422330
136.000000, -181.000000, 94.000000, 5.548400, -0.235811, -235.810530
147.000000, -245.000000, 115.000000, 5.249965, 0.102888, 102.888360
136.000000, -234.000000, 136.000000, 8.604425, 0.117907, 116.626000
126.000000, -192.000000, 94.000000, 10.310209, -0.245615, -246.491090
146.000000, -298.000000, 156.000000, 9.023122, 0.116070, 116.069510
131.000000, -218.000000, 109.000000, 2.102019, 0.107694, 107.694100
132.000000, -244.000000, 96.000000, 6.697768, -0.231353, -231.353280
135.000000, -236.000000, 126.000000, 1.644489, 0.116586, 116.585830
113.000000, -227.000000, 125.000000, 3.673989, 0.108661, 108.660650
138.000000, -240.000000, 117.000000, 6.968876, -0.231979, -232.434520
130.000000, -246.000000, 126.000000, 3.180727, 0.124388, 124.387910
