mot0set, mot1set, mot2set, radius, mean delta orient, total delta orient
0.000000, 0.000000, 0.000000, 0.010149, 0.000014, 0.014190
128.000000, 0.000000, 0.000000, 0.009890, -0.000088, -0.062130
0.000000, 128.000000, 0.000000, 0.015811, 0.000044, 0.033750
0.000000, 0.000000, 128.000000, 0.009733, 0.000021, 0.020600
84.000000, -128.000000, 84.000000, 0.010423, 0.000001, 0.000640
21.000000, 64.000000, 21.000000, 0.008836, -0.000026, -0.025630
98.000000, 42.000000, 98.000000, 0.008987, -0.000031, 0.006320
164.000000, 70.000000, -50.000000, 0.008996, -0.000460, -0.459810
246.000000, 105.000000, -139.000000, 0.008385, -0.000030, -0.029510
60.000000, 116.000000, 46.000000, 0.009561, -0.000045, -0.046230
111.000000, 29.000000, 11.000000, 0.009005, 0.000095, 0.071960
98.000000, 66.000000, -110.000000, 0.008842, 0.000023, 0.022700
98.000000, 48.000000, 46.000000, 0.011163, -0.000008, 0.027100
137.000000, 49.000000, -19.000000, 0.008655, 0.000050, 0.050350
92.000000, 67.000000, -14.000000, 0.010281, 0.000039, 0.039220
131.000000, 56.000000, 24.000000, 0.010511, 0.000035, 0.035130
131.000000, 68.000000, -78.000000, 0.009145, 0.000027, 0.026730
196.000000, 57.000000, -84.000000, 0.009119, 0.000007, 0.029300
118.000000, 64.000000, -31.000000, 0.008082, -0.000044, -0.043920
147.000000, 54.000000, 12.000000, 0.010331, -0.000396, -0.395540
135.000000, 64.000000, -55.000000, 0.010403, 0.000506, 0.505980
141.000000, 83.000000, -71.000000, 0.008631, 0.000002, 0.001980
138.000000, 57.000000, -32.000000, 0.009417, -0.000052, -0.051630
141.000000, 67.000000, -40.000000, 0.009324, 0.000054, 0.053770
149.000000, 67.000000, -52.000000, 0.009594, 0.000010, 0.009670
150.000000, 59.000000, -34.000000, 0.008650, 0.000028, 0.028260
153.000000, 63.000000, -30.000000, 0.463897, 0.000155, 0.081660
150.000000, 66.000000, -46.000000, 0.010473, -0.000020, -0.019130
