mot0set, mot1set, mot2set, radius, mean delta orient, total delta orient
0.000000, 0.000000, 0.000000, 1003.863348, 0.161786, 161.785680
128.000000, 128.000000, 128.000000, 3.996257, -0.240123, -239.697340
-128.000000, -128.000000, -128.000000, 1004.395135, 0.136280, 136.280430
-128.000000, 128.000000, 128.000000, 5.741284, -0.198228, -198.228490
128.000000, 298.000000, 298.000000, 1005.523271, 0.104525, 104.524650
-64.000000, -21.000000, -21.000000, 1003.476018, 0.130769, 130.769140
-42.000000, 156.000000, 156.000000, 5.693108, -0.201373, -200.923810
36.000000, 295.000000, 295.000000, 1005.641626, 0.078480, 78.479690
-39.000000, 58.000000, 58.000000, 1006.786681, 0.157879, 157.878970
43.000000, 142.000000, 142.000000, 3.433551, -0.247079, -247.078850
0.000000, 128.000000, 128.000000, 1006.411381, 0.093432, 93.432220
32.000000, 53.000000, 53.000000, 1005.867675, 0.123903, 123.902560
134.000000, 86.000000, 86.000000, 1.827074, -0.200343, -200.343000
201.000000, 65.000000, 65.000000, 1007.748212, 0.167631, 167.630990
170.000000, 183.000000, 183.000000, 1004.138853, 0.110659, 110.658900
66.000000, 85.000000, 85.000000, 3.577988, -0.236714, -236.714260
34.000000, 80.000000, 80.000000, 1006.716097, 0.117064, 117.680650
104.000000, 116.000000, 116.000000, 1004.108315, 0.128702, 128.701830
88.000000, 114.000000, 114.000000, 2.440416, -0.237877, -237.876860
100.000000, 85.000000, 85.000000, 1006.127469, 0.125685, 125.685150
131.000000, 107.000000, 107.000000, 1004.500580, 0.128971, 129.346440
134.000000, 119.000000, 119.000000, 2.446956, -0.228383, -228.383410
105.000000, 105.000000, 105.000000, 1006.112313, 0.123761, 123.761340
124.000000, 106.000000, 106.000000, 1004.989386, 0.135227, 135.226920
111.000000, 100.000000, 100.000000, 1.920175, -0.243735, -243.734830
134.000000, 102.000000, 102.000000, 1007.430793, 0.139367, 139.367110
132.000000, 96.000000, 96.000000, 1007.047065, 0.135935, 135.934640
116.000000, 86.000000, 86.000000, 2.553697, -0.227348, -227.347930
108.000000, 84.000000, 84.000000, 1007.197490, 0.119631, 119.630780
126.000000, 93.000000, 93.000000, 1004.266872, 0.111255, 111.255060
114.000000, 87.000000, 87.000000, 2.327392, -0.233119, -231.777540
122.000000, 96.000000, 96.000000, 1007.101883, 0.129716, 129.716110
117.000000, 88.000000, 88.000000, 1003.714712, 0.130777, 130.777250
