mot0set, mot1set, mot2set, radius, mean delta orient, total delta orient
0.000000, 0.000000, 0.000000, 53717.127009, 0.016074, 16.074090
0.000000, -128.000000, 0.000000, 5.786178, 0.070377, 70.377200
0.000000, 0.000000, -128.000000, 11.284764, -0.052528, -52.528290
-128.000000, 0.000000, 0.000000, 20.735330, -0.058998, -58.998200
-84.000000, -84.000000, -84.000000, 16.698500, -0.083051, -83.050690
72.000000, -140.000000, -140.000000, 11.890270, 0.023410, 23.409730
132.000000, -94.000000, -94.000000, 57.524049, 0.013887, 13.886810
-30.000000, -86.000000, -86.000000, 321.629904, 0.081319, 81.318850
0.000000, -64.000000, -64.000000, 29.930599, 0.011280, 11.177170
36.000000, -134.000000, -70.000000, 108.131663, -0.002392, -2.392380
-42.000000, -106.000000, -42.000000, 16.511989, 0.279778, 279.778160
-64.000000, -64.000000, 0.000000, 22.304025, -0.007078, -6.848290
-70.000000, -134.000000, 36.000000, 26.208922, -0.013389, -13.389020
-17.000000, -81.000000, -39.000000, 8.279796, -0.079084, -79.083760
26.000000, -146.000000, -54.000000, 22.394815, -0.002152, -2.170830
-41.000000, -84.000000, -13.000000, 11.858844, -0.087007, -87.007230
4.000000, -88.000000, 8.000000, 7.679380, 0.061159, 61.158820
33.000000, -114.000000, -7.000000, 7.028621, -0.006964, -6.963990
41.000000, -139.000000, 39.000000, 40.939727, 0.067869, 66.242390
-2.000000, -95.000000, -19.000000, 12.967601, -0.075616, -75.615600
16.000000, -121.000000, -3.000000, 713.674647, 0.012656, 12.655610
2.000000, -108.000000, 4.000000, 39436.667328, 0.048384, 48.383860
-8.000000, -104.000000, -19.000000, 12.908685, -0.076961, -76.960540
2.000000, -126.000000, -18.000000, 54.086030, 0.017150, 17.149680
-20.000000, -117.000000, -21.000000, 13.146413, -0.081376, -80.870940
-20.000000, -106.000000, -8.000000, 36.535654, -0.053167, -53.090970
-3.000000, -121.000000, -15.000000, 7.992900, 0.287676, 287.675770
14.000000, -117.000000, -1.000000, 113.459392, -0.004158, -4.157580
-11.000000, -117.000000, -16.000000, 8.583121, -0.056888, -56.887930
0.000000, -140.000000, -1.000000, 3.806082, 0.002452, 2.330680
4.000000, -158.000000, 8.000000, 9.806519, 0.052548, 52.878120
9.000000, -141.000000, 6.000000, 2.643721, 0.054549, 54.549280
19.000000, -153.000000, 17.000000, 3.908149, -0.308643, -308.642710
9.000000, -151.000000, 17.000000, 14.274356, 0.074719, 74.593070
0.000000, -128.000000, -7.000000, 20.933144, 0.016962, 16.962160
