@relation 'resultsNCexpanded-weka.filters.unsupervised.attribute.Remove-R37-144-weka.filters.unsupervised.attribute.Remove-R37-40,42-43'

@attribute 00 numeric
@attribute 01 numeric
@attribute 02 numeric
@attribute 03 numeric
@attribute 04 numeric
@attribute 05 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 40 numeric
@attribute 41 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 50 numeric
@attribute 51 numeric
@attribute 52 numeric
@attribute 53 numeric
@attribute 54 numeric
@attribute 55 numeric
@attribute H numeric

@data
19,0,153,162,-2,-6,19,33,152,52,18,-2,-1,12,-14,8,-2,-4,-1,-4,-6,14,11,6,-5,26,-5,9,10,21,22,30,-4,22,5,10,-172
32,17,1,4,17,171,8,18,-16,-27,6,0,-5,13,3,-7,16,-16,-12,20,9,-17,14,-16,-3,12,-5,-1,12,4,-10,7,3,1,9,178,-55
4,28,26,-34,-1,-8,17,3,-15,-1,16,10,87,70,-14,13,18,3,236,7,-7,-19,3,44,28,32,7,9,22,29,2,22,10,-3,10,0,79
1,22,28,-22,26,3,-7,28,109,17,7,-3,3,104,81,26,9,5,3,28,4,-30,1,8,4,23,12,-4,-5,-3,-2,10,-9,-4,-1,13,-130
-7,3,3,10,18,4,5,24,12,7,8,11,11,19,13,-1,-5,7,26,38,61,14,6,-1,-14,117,80,-9,1,-14,40,72,3,-7,10,-15,68
40,22,-17,6,15,-10,-7,25,-17,-17,26,2,3,11,-22,-23,33,9,1,12,-9,17,577,46,-11,8,-15,125,466,29,34,18,18,33,35,-2,-109
17,31,-5,9,-6,-21,-18,106,27,5,21,15,18,17,11,-5,10,15,30,28,5,20,21,-22,11,25,14,-20,-1,1,-6,14,21,5,13,-2,-46
-30,-20,-32,24,18,0,7,10,-34,-21,0,13,59,35,0,23,19,71,8,12,30,-10,13,137,-4,6,5,-14,8,25,11,24,33,10,13,-13,98
18,60,25,12,-3,2,25,44,11,34,10,-15,6,64,31,12,-1,6,-25,17,4,20,0,30,26,-9,0,17,0,43,5,16,9,25,-3,8,82
6,33,41,10,10,18,-10,44,151,-1,12,21,-5,68,17,2,6,14,10,40,24,1,4,17,15,30,34,24,3,-5,3,16,19,21,10,-6,-133
-20,27,15,22,11,-2,-6,48,-11,2,4,10,8,15,16,-10,10,4,21,29,64,5,11,17,25,45,90,13,6,15,1,21,73,31,7,-6,74
11,9,-29,48,10,-3,-18,19,22,33,13,-1,18,34,15,28,-1,19,20,10,8,35,429,14,22,35,53,108,317,13,-10,-8,13,15,24,-13,-113
-6,-3,-7,26,-1,-23,22,19,-5,27,15,0,3,12,44,27,-3,22,13,19,-33,18,29,28,11,7,7,2,-26,4,0,41,44,7,11,9,-11
27,-22,12,8,-6,160,31,-8,26,-22,-22,42,-9,12,5,13,18,10,40,12,-61,9,-15,11,33,-4,27,23,-12,8,-19,10,8,-4,2,62,-47
19,17,-3,-9,-29,15,-14,8,-31,9,-27,0,81,30,-24,-33,-11,-22,200,37,-13,39,-24,18,74,-3,49,-42,-8,28,9,24,-11,5,-14,-8,84
-18,9,60,28,27,14,44,29,88,13,-3,17,-7,68,-17,1,1,10,9,-2,27,1,-8,-7,41,4,74,6,14,6,20,34,-2,26,-7,-2,-135
-11,-14,6,-6,3,4,14,27,-53,12,-8,2,24,-5,61,-9,-8,-8,45,17,37,-3,-7,-2,-16,102,65,16,-31,-10,-10,103,37,16,-4,4,75
-13,-14,-3,2,12,12,5,36,27,-9,-11,16,27,7,0,-7,12,-9,8,-28,-5,47,376,-4,-11,27,24,113,355,14,2,-1,13,7,-8,5,-113
4,40,4,-18,-6,-2,17,124,-23,-6,-10,18,9,56,0,-17,-5,4,15,17,2,20,-9,1,-22,32,26,-24,-17,-2,-2,24,-7,8,-28,17,-12
13,-19,19,25,93,227,27,-16,-2,1,155,35,-8,8,24,10,-5,20,15,8,-14,2,-9,-1,-8,-14,-16,19,-9,5,-7,20,8,11,19,67,-12
21,17,41,-16,-21,-2,16,36,24,5,-23,18,7,127,57,0,-23,-9,32,95,9,-4,-18,10,-9,-19,1,22,2,33,-15,-3,3,17,12,1,-29
5,-13,-1,4,-13,10,19,21,-2,79,-18,19,44,17,149,54,-4,5,-6,17,52,38,14,-16,6,-14,-6,-18,-11,-3,3,17,10,19,3,8,-97
29,41,26,-13,-4,177,1,6,-11,3,-2,31,7,-2,14,-4,9,32,32,17,-26,-16,-15,19,20,5,13,1,0,4,15,37,33,-4,-7,100,-48
23,8,16,-6,-4,13,-7,27,102,9,-7,5,29,90,28,1,-18,8,-3,13,-17,10,-15,-7,9,14,-24,8,-14,-27,9,30,35,14,-1,16,-133
16,26,21,-28,-13,3,6,-13,-6,-11,-10,-1,13,25,37,2,-12,-1,-10,-6,34,26,-13,8,29,98,58,10,14,18,-1,69,55,6,-14,6,76
-4,9,13,4,-2,1,4,-18,9,31,3,-2,12,-8,33,-12,5,1,13,-4,2,6,416,23,27,9,-7,120,342,24,6,-3,-11,14,-17,16,-112
34,15,-8,-16,-3,8,2,137,20,-32,-2,13,2,67,-23,-5,-21,21,15,3,22,0,-1,-21,2,-10,11,-19,-9,-5,-6,-16,14,2,27,4,-12
-15,1,46,11,-24,13,25,-11,17,1,-12,-13,-23,136,22,12,-4,-4,-13,77,4,-1,14,9,-15,1,-10,2,-14,16,5,2,-17,10,-18,23,-29
35,7,-8,-11,-21,2,14,8,12,97,-17,12,51,1,180,63,-5,4,-5,2,30,26,-8,15,-15,54,-12,35,17,26,-1,9,72,25,17,22,-97
16,-16,1,39,6,175,-17,9,5,-15,1,34,15,20,-10,23,6,12,-14,22,31,13,3,9,-5,3,5,-22,11,2,-14,16,-7,9,-25,80,-48
0,-14,-22,-8,-21,-7,36,-1,-24,4,-27,1,74,72,39,23,-9,-20,205,4,18,10,-15,7,36,16,-47,-11,-5,29,1,-1,-33,-7,-31,-5,83
-21,21,29,43,-17,-5,-6,31,117,10,-3,-11,23,31,34,-12,-2,24,-7,30,-46,7,-23,26,0,13,-18,15,-27,0,14,15,-4,20,-20,6,-134
-24,32,30,-3,-1,21,-8,51,-34,12,-15,14,28,4,35,9,-5,-10,-2,8,55,-14,-14,1,-11,97,48,34,2,1,-9,95,4,19,-16,-1,75
-14,18,8,17,-2,-23,13,76,19,7,-13,-8,-2,-1,25,-13,-7,-6,6,32,7,-19,-20,-20,4,-19,20,5,-8,3,10,-13,15,-15,11,18,-12
-2,-2,209,176,12,19,-12,9,13,26,-28,17,-11,28,-6,36,-29,-10,-7,-12,-3,7,-6,-12,-1,15,-2,32,-6,-16,13,-12,219,252,10,1,76
-4,-1,-21,19,-2,30,-1,55,10,14,-10,11,33,139,55,22,-3,4,-14,102,-3,7,-12,-16,-19,6,16,34,-12,2,23,-20,30,-16,22,23,-29
-11,8,-3,-28,-21,-3,34,3,52,85,-7,-2,8,-12,136,60,15,5,-10,2,35,10,-2,-6,15,-4,26,-5,3,21,41,6,7,11,-2,-6,-96
12,24,16,-5,-5,205,-6,10,0,-9,-9,68,-19,-8,-7,15,-8,7,-15,26,1,-8,-19,25,-14,-3,-9,0,-17,5,-11,-6,6,-14,1,80,-47
31,-6,-6,-15,-5,2,-3,21,7,-27,-11,6,8,58,-4,-5,5,5,122,46,6,13,3,14,8,-1,-19,-40,-1,20,-2,-13,13,-8,-10,3,86
31,4,-10,3,-12,1,10,11,-12,-9,-10,6,12,16,16,28,-3,-7,14,-3,7,-3,4,33,9,-10,27,13,-3,28,37,-6,3,7,-11,17,80
-38,-4,26,8,0,2,-26,-30,-5,-33,18,15,-2,-2,11,8,17,30,-10,6,-4,6,272,16,18,13,5,85,218,18,-3,3,15,18,-7,4,-107
-15,8,16,29,9,10,-9,-4,30,9,0,29,8,-16,13,27,-10,26,28,4,7,-6,-13,4,8,-21,176,320,-1,21,3,-8,188,202,-8,4,49
11,33,-24,-17,-2,19,-9,11,13,-14,21,-3,18,-10,-5,6,15,27,22,111,14,-4,7,23,31,92,21,-13,-17,13,1,-13,6,-3,0,18,48
-4,10,38,-11,-12,13,14,9,13,22,-10,11,-20,-12,-23,23,-25,12,-6,-9,155,104,-16,19,-7,23,135,6,-6,14,-8,25,19,-16,3,9,-12
53,13,-6,-7,-4,182,22,-8,4,-13,1,25,25,-7,-7,-15,7,-8,37,-4,35,32,6,13,29,-23,-79,12,3,7,0,20,-3,-16,-6,91,-46
20,17,7,-21,-10,9,44,15,39,-19,-15,22,65,36,44,-28,-6,0,173,34,13,21,-2,25,-6,8,8,-16,9,47,15,3,-15,-15,-10,14,87
-9,4,116,10,-15,30,-13,55,121,0,-6,27,8,8,30,-6,10,35,41,-11,43,12,-22,19,-23,10,-9,8,24,-1,-14,9,-22,-3,-15,0,-144
6,21,-27,-6,-8,33,1,0,20,-16,2,9,-2,31,-22,22,-3,0,41,-5,-5,43,274,15,35,3,-25,85,213,17,48,24,-54,47,3,9,-106
35,12,23,-26,-5,11,24,21,-40,16,-14,3,15,35,-12,44,-7,-12,-1,-8,0,3,-16,16,47,17,-40,30,-1,-2,27,5,-7,12,-6,11,6
19,-22,11,6,60,227,-9,23,-7,-8,140,197,3,20,20,11,13,18,17,-10,7,-2,-15,31,16,4,-31,13,4,13,2,22,4,-26,3,33,27
13,-4,-1,-22,-5,-16,-2,30,-11,-23,23,-7,0,47,-22,-1,25,4,5,86,60,-9,-9,10,-7,120,3,-12,9,23,19,0,-38,12,-16,1,48
42,0,-14,-14,5,24,12,12,39,16,-25,-2,-9,14,15,31,-17,8,-13,10,91,65,16,14,19,2,129,4,-22,14,14,37,-4,8,30,24,-12
31,-35,7,-10,15,9,2,38,-25,9,-24,12,97,42,-3,20,2,35,231,1,18,15,-7,5,41,21,-24,9,-3,21,21,11,-30,24,-14,22,86
-4,43,108,-10,9,12,30,76,124,-4,-10,25,-1,30,-13,-2,-20,19,-12,47,-13,-10,-7,2,4,26,-11,16,-18,-5,21,10,35,20,24,8,-144
23,-18,18,3,3,6,11,2,19,-10,3,-15,1,2,-7,-7,14,16,26,17,3,12,30,-3,2,109,56,-12,13,21,12,85,32,-11,10,27,81
12,-23,11,13,-20,4,-17,49,-1,3,-7,7,2,2,-36,19,27,28,-26,55,-15,5,5,16,-3,36,-15,20,-11,18,-5,30,-11,-7,-8,-5,6
35,-31,25,-9,6,-1,0,41,21,1,21,-15,28,29,3,20,-9,3,-10,83,23,8,6,32,1,13,-13,-2,-4,24,28,18,-15,9,18,19,48
5,-29,-3,-19,13,34,12,-21,7,26,-13,23,3,36,-17,12,31,19,-3,2,139,92,-32,10,-31,14,112,51,-1,16,-3,2,7,12,-1,-9,-11
22,7,-25,46,-9,197,0,11,-30,28,3,39,24,-13,-41,-23,17,33,3,20,-35,0,-16,10,-5,50,-38,14,-2,21,19,19,-5,5,-8,72,-46
25,36,-9,5,-36,10,-30,16,9,14,8,0,40,59,-16,19,13,28,59,44,-29,8,7,19,34,6,-20,-25,11,46,38,0,2,-11,2,1,86
24,17,102,5,-11,4,-12,104,123,24,0,-14,24,13,24,-10,3,-1,36,-7,34,5,17,8,0,27,-30,-9,0,14,0,27,25,-14,18,16,-144
16,30,-34,2,-24,-7,20,40,-39,4,11,8,45,17,-41,41,-18,-5,33,20,-34,-16,-16,34,34,22,23,-12,-16,9,6,-9,19,-6,-15,-4,81
21,17,-24,-24,-14,-16,43,5,-44,11,11,15,1,21,-2,-5,-11,37,12,36,3,-42,-21,1,29,45,-21,4,-12,-4,31,2,-7,33,-6,8,6
13,18,28,33,-2,14,17,20,12,20,6,0,2,-5,3,32,31,2,-5,24,-5,-6,-4,11,28,18,144,320,-11,10,36,22,166,174,-4,6,48
4,-18,-21,28,-12,10,-6,30,-26,3,2,18,19,4,-28,10,-22,5,31,82,26,-31,-6,13,-11,45,-4,3,10,6,-6,-16,-31,9,-4,8,51
-13,16,-16,-26,-17,-11,14,8,3,0,1,5,61,69,-20,-34,4,5,33,33,-27,29,8,10,38,23,10,-7,-16,13,41,19,-36,-2,-8,-8,86
6,-11,42,-14,1,3,-19,80,102,-40,-14,-20,-21,16,-15,-6,-10,-39,-32,10,-21,-9,-12,-26,11,3,-1,-5,15,-13,6,5,-4,-24,4,-28,-143
-25,-9,11,-27,-2,21,-8,6,-16,-51,4,21,-10,1,-34,-24,7,9,-2,-2,-6,-9,-5,0,-3,21,44,-21,5,-9,-7,-7,-3,-26,0,23,81
33,25,7,-33,-13,8,34,45,-1,21,4,33,13,20,13,18,-1,13,35,15,3,14,-6,18,14,-9,-28,19,11,12,27,2,-39,-17,1,14,11
12,-2,25,13,-14,15,10,2,23,43,26,24,27,2,23,35,13,15,20,21,-2,48,8,16,34,3,199,234,-6,28,0,3,150,20,-7,4,17
12,25,-17,-6,-1,9,9,-10,-45,19,19,13,26,0,-16,-7,-5,23,4,38,0,14,-1,-6,49,61,47,31,13,0,8,19,15,-16,18,21,117
9,8,66,-11,2,13,22,78,116,28,19,8,38,50,7,6,9,9,13,35,-16,14,-14,12,7,-13,-25,-5,27,6,15,17,-6,2,10,-1,-143
32,32,-26,-30,-5,7,11,19,-41,-7,2,0,27,8,-39,-18,-14,12,5,17,-3,21,41,-24,17,12,24,-4,31,21,11,6,4,3,6,28,80
33,21,-17,14,1,-2,10,17,-26,6,-3,12,27,0,-34,-21,4,19,1,13,-23,0,11,26,9,31,-28,0,26,10,52,3,-7,18,-18,13,11
4,40,34,29,3,25,24,-1,13,22,13,30,29,-9,7,4,8,5,23,-11,5,19,14,-10,25,3,192,173,26,4,32,-5,166,28,-9,23,18
38,26,9,9,-15,1,21,37,42,-16,19,0,32,3,-12,29,-13,12,-13,47,7,24,-2,-2,3,23,62,1,33,-12,0,-3,-1,24,-22,8,118
33,-1,-16,28,5,-9,28,42,29,8,20,-9,108,73,-39,34,19,2,213,-21,33,16,4,10,58,17,-73,30,-21,15,6,-1,46,-23,-4,1,85
19,-3,14,0,4,-13,7,0,-41,-35,10,-10,-8,7,-12,9,-22,4,0,8,37,2,11,-8,10,2,28,13,-2,-3,-3,20,21,24,8,9,81
2,36,24,4,14,-24,4,-5,1,31,18,-1,12,-1,35,20,16,18,-5,20,16,78,-16,3,-2,42,215,240,-11,-4,1,8,159,57,1,-9,17
1,14,5,8,-13,6,4,-11,24,22,32,-5,-6,-1,-6,4,8,18,9,33,18,15,-12,11,-8,17,18,22,4,0,-3,23,20,3,-6,-3,117
30,24,-4,-15,3,-14,28,60,3,2,27,13,25,52,10,16,35,17,36,-16,-22,7,-11,14,11,-3,-7,-5,-1,7,-3,15,9,9,19,-6,85
23,17,84,-26,30,4,15,65,109,7,-8,15,-21,32,1,10,31,3,27,-15,1,26,8,0,13,18,-7,20,19,4,-17,25,14,-17,14,14,-142
-1,-4,29,24,-2,-20,-5,13,9,0,23,-17,4,6,13,36,10,-11,-4,20,35,22,22,-2,7,58,56,30,-3,7,-7,85,36,6,18,-1,80
7,-36,6,12,4,-5,-11,-7,12,1,26,-7,0,-3,-1,-14,-20,4,28,-5,21,-14,12,10,34,-32,36,-6,11,-26,-26,-1,10,27,-3,7,10
32,-5,70,-9,37,-3,-5,-18,48,-5,14,-5,48,-9,79,18,-2,-13,50,-18,70,54,7,-15,21,-17,224,181,22,-6,12,1,157,64,-4,19,17
23,-21,-2,12,20,2,-2,-17,27,-7,30,24,-22,21,11,-9,-3,-11,1,19,61,-5,9,-10,3,35,29,9,8,-33,-41,-11,45,-2,28,13,103
6,33,30,-10,-9,0,-16,0,23,-7,17,-1,-2,32,29,9,20,0,15,-34,1,2,28,34,9,17,16,-12,5,34,18,3,14,-13,-10,4,84
17,-3,111,24,7,5,-7,75,120,-6,7,-2,0,24,43,-3,18,-8,4,-15,48,-4,22,-11,11,3,31,17,7,-5,13,-9,45,-4,13,-5,-140
35,-29,-4,-7,-3,-4,-10,-3,13,16,-1,-1,5,-3,9,-7,10,15,14,9,38,6,0,35,-29,55,73,-10,-7,-24,1,4,45,10,12,-21,86
-14,14,31,13,-14,-4,17,17,24,18,4,20,-27,-5,5,-14,11,15,20,-23,2,-3,3,9,39,20,27,0,-7,8,23,-1,-6,-5,3,-15,14
1,-23,35,34,29,23,16,2,23,-17,-5,1,0,0,20,3,6,-11,-14,-22,188,279,-22,-6,20,31,193,178,6,15,-3,-12,37,1,-4,12,1
30,78,42,17,-7,8,24,33,12,3,16,-2,31,-9,20,12,-1,36,-35,47,17,-16,-5,20,15,-18,19,-7,14,21,5,5,46,7,-5,-1,-157
7,21,14,-4,-10,-1,15,-10,21,-11,-4,10,20,27,-16,8,6,11,46,1,8,31,-3,33,16,-18,18,-23,-8,22,3,-8,8,-9,8,5,84
34,9,100,12,21,16,35,83,115,9,-1,-7,-10,40,10,-19,16,-3,44,0,15,-1,3,25,8,-6,33,-7,-17,21,9,43,20,29,19,2,-140
63,11,14,-60,-1,-1,14,19,4,8,22,4,-15,9,61,-12,-3,25,30,-18,33,-3,-8,9,14,69,38,-1,-16,25,21,47,56,0,-13,-2,88
34,8,21,-12,6,27,39,-24,32,-10,8,8,18,-8,38,-9,8,-2,-4,22,6,18,20,0,5,9,-25,-12,-6,9,32,8,33,-25,12,24,15
-13,-11,14,46,-23,-4,-7,20,15,17,23,8,4,18,41,21,19,-1,17,-8,140,287,-16,12,21,31,207,99,10,-6,-13,8,-4,30,8,6,1
21,9,-12,23,13,1,19,8,17,28,10,22,16,25,18,9,-17,11,31,20,-38,18,-12,16,-9,11,-7,24,-11,17,3,-17,14,-14,12,2,84
-23,41,148,61,16,-4,12,44,74,1,18,11,5,42,5,-25,-27,-4,-23,20,3,7,-34,9,0,3,-30,-4,-3,7,5,12,-29,35,3,28,-139
17,27,19,9,-4,-3,1,32,-3,18,-6,6,60,-23,55,-10,20,19,44,-12,16,-17,15,5,-7,77,59,-2,-18,0,-3,61,66,22,-4,20,88
33,-11,-15,14,-30,8,7,13,25,13,11,0,-1,0,18,11,13,14,6,-5,23,1,27,10,13,-10,-1,-27,12,13,29,-38,17,-12,-13,-3,15
30,13,50,-13,12,-8,-6,-38,60,19,-5,10,29,-5,56,20,-15,19,39,1,167,259,21,-10,2,-1,233,156,-15,2,-13,10,22,0,19,-13,2
-5,79,2,11,-33,-5,15,5,-18,44,36,15,25,-30,-25,14,2,2,7,0,23,-17,2,-8,16,7,13,11,-39,10,21,-3,34,5,27,-8,-157
42,-15,10,-6,11,11,39,26,5,3,-3,4,56,55,10,20,-15,-1,195,-11,11,-12,29,16,13,22,7,-1,16,12,3,19,19,-2,0,3,84
-6,27,120,33,-8,-12,14,80,98,47,-11,16,1,12,16,9,-22,13,5,-15,28,-21,6,0,17,18,12,0,-8,-8,-1,11,6,8,-25,6,-138
13,-11,29,7,6,6,19,12,-21,23,6,7,7,-5,36,-17,15,33,34,-6,31,-17,17,14,25,60,86,-29,13,19,40,53,87,-19,7,5,88
10,6,-2,-3,-8,-2,41,-15,18,16,-13,18,52,6,-7,11,-8,31,30,-6,19,14,-10,9,20,20,3,23,7,-10,39,-37,29,2,-4,22,15
32,-46,56,17,18,26,36,-25,0,17,-8,17,68,-25,26,33,-21,25,19,19,150,257,-3,-1,2,-5,210,131,28,-25,2,7,43,40,16,10,2
9,84,25,22,-7,2,20,-29,42,-14,-4,33,14,17,55,-8,0,-5,10,38,-21,-4,11,9,10,45,20,-30,26,2,-28,-5,53,20,27,4,-154
32,64,120,-34,3,1,7,77,118,16,5,2,-16,11,21,-14,-2,0,11,24,11,29,18,17,18,-23,1,14,18,5,12,4,27,3,0,11,-147
-2,-12,29,21,-4,-8,-1,-10,15,-18,9,21,1,-7,34,-22,-5,19,3,12,1,4,-10,-3,33,62,71,11,14,14,20,71,57,35,6,25,94
18,-13,-4,14,12,12,35,-30,23,20,4,7,9,19,4,1,8,5,17,7,1,-15,13,12,26,15,-11,-27,11,10,36,2,20,7,7,2,31
33,-24,1,13,16,13,13,-8,-3,-2,-3,14,3,-30,14,14,-6,-9,21,4,214,305,2,2,9,-10,184,159,0,10,10,-9,36,1,-10,11,-5
23,17,10,29,6,15,1,68,76,23,10,4,21,107,48,12,-3,0,38,6,5,-6,5,4,11,-7,-27,16,16,-1,4,6,2,-4,-5,21,-66
13,15,9,-4,10,11,25,4,-17,18,12,26,14,31,45,24,2,27,16,25,12,17,13,31,3,12,-1,-4,6,36,-4,-2,-18,34,-13,-13,85
6,75,119,14,-1,-1,22,88,134,34,1,14,45,0,26,18,20,31,38,-11,18,4,12,0,9,12,36,35,24,10,21,23,20,36,10,2,-149
10,8,4,8,11,-7,-13,11,45,21,-2,-1,21,1,31,24,4,16,1,10,-1,17,18,9,38,48,29,23,-3,23,30,32,72,26,-4,8,96
2,16,18,-4,6,14,-13,15,8,3,12,23,27,13,-32,22,-9,8,30,0,-24,33,-11,3,40,6,1,32,16,9,19,-2,-10,13,-9,21,34
-6,-17,18,53,-9,1,23,1,46,33,-1,-2,14,-10,25,54,29,12,6,21,201,311,-7,13,14,19,144,163,-8,10,-18,19,17,24,-13,-3,-7
18,4,0,17,9,18,3,77,54,36,4,16,17,89,34,36,-26,2,18,-25,-9,-2,24,13,23,-18,17,0,38,6,15,9,14,31,14,28,-66
48,33,4,2,8,14,3,32,-22,8,23,0,71,51,4,55,7,16,135,9,47,21,11,35,20,26,36,19,20,23,-3,2,37,31,22,-2,85
15,67,94,43,22,2,13,94,103,44,-12,23,-12,22,3,31,1,-11,9,-16,41,0,31,-12,-12,26,14,32,2,22,39,21,-3,49,-26,18,-149
24,48,26,5,-2,16,9,24,8,47,-9,5,-11,18,28,15,12,-5,38,-35,20,2,19,9,4,85,77,38,-4,12,6,74,55,26,4,21,96
29,-7,20,28,1,-6,17,12,34,54,27,1,-9,-10,-7,64,33,5,-14,14,192,316,17,5,-1,-1,182,133,40,12,27,-25,26,4,-13,-2,-8
0,14,-6,12,27,15,11,68,56,-3,16,4,-4,68,33,3,15,-3,-5,9,14,26,30,0,42,-28,0,8,19,30,-4,-4,-9,5,17,0,-66
0,-17,-6,5,-11,-1,24,6,-15,44,-9,-4,90,-1,58,9,34,-3,136,22,4,44,24,31,15,23,-5,13,14,50,14,-7,-12,-11,3,13,85
-18,34,123,45,28,-9,-9,85,126,33,29,30,26,14,-2,4,16,12,6,22,-22,22,-11,20,5,21,14,39,2,4,-15,-6,-2,28,34,20,-150
