21,23,149,172,25,2,7,-1,119,85,12,-7,9,26,8,22,22,-20,7,20,1,17,4,-13,20,22,35,42,27,-13,-15,20,22,20,29,-23,162,-70,-174
20,-10,1,41,12,149,13,40,-34,36,15,5,16,37,2,21,10,-1,14,30,18,44,17,-16,20,17,-25,24,30,-7,37,4,-9,18,38,158,169,111,-55
16,34,-4,1,12,-4,18,25,0,55,17,4,16,28,23,26,22,3,-6,28,37,26,7,-9,4,116,82,69,31,-21,16,54,28,25,13,-7,186,-20,69
14,1,3,488,75,-19,-11,17,17,445,44,-4,-9,23,26,69,24,11,26,19,12,60,16,-13,19,12,11,42,21,-11,-5,33,-3,35,31,-35,110,-116,132
24,20,-2,3,19,-10,28,20,36,36,27,-8,14,36,10,54,38,-11,5,1,-6,34,577,33,-19,30,-22,151,465,-1,8,6,18,42,31,7,111,-171,-109
0,35,-8,3,22,-2,0,159,3,6,12,7,2,175,15,19,13,-10,30,19,-13,-3,-8,-5,26,17,28,23,-4,11,21,31,11,28,2,-10,146,31,-48
33,-3,160,283,21,6,11,21,36,23,19,-8,16,2,28,15,3,-18,22,2,0,35,0,-12,2,28,22,21,16,-31,-9,19,86,241,9,5,150,-91,104
32,24,157,155,6,1,17,40,139,62,11,2,18,8,7,-2,-5,-1,30,43,-6,17,-6,13,10,28,26,-1,-10,-9,2,-10,12,12,16,-23,162,-70,-173
18,2,11,30,25,154,6,-2,-1,18,5,-2,27,33,-30,-4,24,10,-9,-6,5,-9,7,-9,13,29,12,14,2,6,38,18,-30,-2,8,173,169,111,-56
5,21,0,20,-5,-1,24,18,-21,-10,2,-7,122,83,-21,0,15,1,219,12,-11,15,0,-4,32,35,-17,9,14,1,3,16,-19,-4,3,1,134,60,79
-22,13,27,23,17,-11,25,23,95,17,20,12,20,70,54,-7,14,-5,16,29,7,26,-2,2,27,32,7,-6,11,2,21,9,-9,17,9,-5,160,-47,-130
-31,5,19,9,13,-11,-17,36,-10,8,22,-8,26,20,28,19,13,-4,2,27,16,4,14,16,-9,113,77,9,9,15,1,46,5,15,2,-9,186,-20,69
5,33,11,-11,18,-14,-3,5,1,11,19,17,0,41,-12,23,25,27,6,14,-7,-6,545,22,15,-4,28,137,464,-11,9,11,-12,23,24,-28,111,-171,-109
7,25,174,276,6,16,31,1,24,26,4,-22,15,42,27,16,16,-6,3,17,25,54,11,-15,4,16,7,39,22,20,11,21,114,247,25,9,150,-92,103
-28,14,10,22,13,-4,13,49,10,5,23,18,161,8,-11,26,0,84,164,18,-5,4,12,138,1,5,-19,0,0,26,22,3,-22,-7,2,-8,159,85,98
33,23,129,149,4,-7,18,44,166,54,-9,-3,-4,15,17,15,-8,-25,12,17,4,-4,-5,-15,-7,-1,5,1,14,-3,12,4,37,-7,18,5,162,-70,-173
12,20,-13,-13,17,164,32,7,-30,5,-7,18,8,19,0,22,9,7,17,-11,-15,-12,0,-4,9,11,54,40,17,-3,-5,15,24,19,7,165,169,111,-56
10,0,15,20,-6,-2,2,11,-28,42,7,-12,95,68,31,20,24,-16,251,31,11,10,-1,6,51,33,35,3,13,15,30,30,6,21,-5,2,134,60,78
-1,-2,2,43,11,-6,13,43,151,12,12,0,-3,85,83,31,0,5,-8,6,26,15,11,1,16,35,12,18,16,-8,-18,15,-6,36,26,-9,160,-46,-130
9,27,0,14,-1,-26,11,37,-30,37,9,1,16,31,29,15,-3,-3,8,36,16,24,8,-9,-11,90,50,15,3,-12,6,35,0,-20,5,-13,186,-21,68
9,4,-2,463,88,7,8,39,32,452,30,10,2,19,49,75,6,0,7,9,19,43,1,0,7,10,-4,7,2,5,30,6,21,33,19,4,110,-117,131
14,-9,2,8,10,9,32,31,22,-5,23,10,-4,17,-8,-8,19,-10,-2,26,19,5,560,11,11,29,11,138,464,-10,-21,27,-14,12,20,-6,111,-170,-109
-7,23,-12,17,-1,-1,17,158,27,6,6,-22,13,42,-3,2,10,-9,19,-7,-14,-24,10,-11,17,2,-15,22,3,7,1,3,-22,-15,-2,23,146,31,-47
0,12,193,284,4,9,-3,13,37,-8,18,8,1,4,-10,-19,0,8,12,27,6,18,11,-6,17,16,23,6,-20,-17,3,2,115,211,8,-19,150,-90,104
6,28,-12,-16,8,-3,25,30,8,4,2,-8,25,8,-8,1,10,59,35,40,32,20,24,126,-10,19,0,21,24,28,0,30,16,8,31,15,159,86,99
19,0,153,162,-2,-6,19,33,152,52,18,-2,-1,12,-14,8,-2,-4,-1,-4,-6,14,11,6,-5,26,-5,9,10,21,22,30,-4,22,5,10,162,-69,-172
32,17,1,4,17,171,8,18,-16,-27,6,0,-5,13,3,-7,16,-16,-12,20,9,-17,14,-16,-3,12,-5,-1,12,4,-10,7,3,1,9,178,169,111,-55
4,28,26,-34,-1,-8,17,3,-15,-1,16,10,87,70,-14,13,18,3,236,7,-7,-19,3,44,28,32,7,9,22,29,2,22,10,-3,10,0,134,60,79
1,22,28,-22,26,3,-7,28,109,17,7,-3,3,104,81,26,9,5,3,28,4,-30,1,8,4,23,12,-4,-5,-3,-2,10,-9,-4,-1,13,160,-47,-130
-7,3,3,10,18,4,5,24,12,7,8,11,11,19,13,-1,-5,7,26,38,61,14,6,-1,-14,117,80,-9,1,-14,40,72,3,-7,10,-15,186,-20,68
40,22,-17,6,15,-10,-7,25,-17,-17,26,2,3,11,-22,-23,33,9,1,12,-9,17,577,46,-11,8,-15,125,466,29,34,18,18,33,35,-2,112,-170,-109
17,31,-5,9,-6,-21,-18,106,27,5,21,15,18,17,11,-5,10,15,30,28,5,20,21,-22,11,25,14,-20,-1,1,-6,14,21,5,13,-2,146,31,-45
-30,-20,-32,24,18,0,7,10,-34,-21,0,13,59,35,0,23,19,71,8,12,30,-10,13,137,-4,6,5,-14,8,25,11,24,33,10,13,-13,159,85,98
18,60,25,12,-3,2,25,44,11,34,10,-15,6,64,31,12,-1,6,-25,17,4,20,0,30,26,-9,0,17,0,43,5,16,9,25,-3,8,137,60,84
6,33,41,10,10,18,-10,44,151,-1,12,21,-5,68,17,2,6,14,10,40,24,1,4,17,15,30,34,24,3,-5,3,16,19,21,10,-6,159,-45,-134
-20,27,15,22,11,-2,-6,48,-11,2,4,10,8,15,16,-10,10,4,21,29,64,5,11,17,25,45,90,13,6,15,1,21,73,31,7,-6,195,-21,75
11,9,-29,48,10,-3,-18,19,22,33,13,-1,18,34,15,28,-1,19,20,10,8,35,429,14,22,35,53,108,317,13,-10,-8,13,15,24,-13,122,-169,-112
-6,-3,-7,26,-1,-23,22,19,-5,27,15,0,3,12,44,27,-3,22,13,19,-33,18,29,28,11,7,7,2,-26,4,0,41,44,7,11,9,155,36,-11
27,-22,12,8,-6,160,31,-8,26,-22,-22,42,-9,12,5,13,18,10,40,12,-61,9,-15,11,33,-4,27,23,-12,8,-19,10,8,-4,2,62,170,112,-47
19,17,-3,-9,-29,15,-14,8,-31,9,-27,0,81,30,-24,-33,-11,-22,200,37,-13,39,-24,18,74,-3,49,-42,-8,28,9,24,-11,5,-14,-8,137,61,84
-18,9,60,28,27,14,44,29,88,13,-3,17,-7,68,-17,1,1,10,9,-2,27,1,-8,-7,41,4,74,6,14,6,20,34,-2,26,-7,-2,159,-46,-135
-11,-14,6,-6,3,4,14,27,-53,12,-8,2,24,-5,61,-9,-8,-8,45,17,37,-3,-7,-2,-16,102,65,16,-31,-10,-10,103,37,16,-4,4,195,-21,75
-13,-14,-3,2,12,12,5,36,27,-9,-11,16,27,7,0,-7,12,-9,8,-28,-5,47,376,-4,-11,27,24,113,355,14,2,-1,13,7,-8,5,122,-170,-113
4,40,4,-18,-6,-2,17,124,-23,-6,-10,18,9,56,0,-17,-5,4,15,17,2,20,-9,1,-22,32,26,-24,-17,-2,-2,24,-7,8,-28,17,155,35,-12
13,-19,19,25,93,227,27,-16,-2,1,155,35,-8,8,24,10,-5,20,15,8,-14,2,-9,-1,-8,-14,-16,19,-9,5,-7,20,8,11,19,67,136,136,-12
21,17,41,-16,-21,-2,16,36,24,5,-23,18,7,127,57,0,-23,-9,32,95,9,-4,-18,10,-9,-19,1,22,2,33,-15,-3,3,17,12,1,161,-4,-29
5,-13,-1,4,-13,10,19,21,-2,79,-18,19,44,17,149,54,-4,5,-6,17,52,38,14,-16,6,-14,-6,-18,-11,-3,3,17,10,19,3,8,168,-68,-97
29,41,26,-13,-4,177,1,6,-11,3,-2,31,7,-2,14,-4,9,32,32,17,-26,-16,-15,19,20,5,13,1,0,4,15,37,33,-4,-7,100,170,111,-48
23,8,16,-6,-4,13,-7,27,102,9,-7,5,29,90,28,1,-18,8,-3,13,-17,10,-15,-7,9,14,-24,8,-14,-27,9,30,35,14,-1,16,159,-45,-133
16,26,21,-28,-13,3,6,-13,-6,-11,-10,-1,13,25,37,2,-12,-1,-10,-6,34,26,-13,8,29,98,58,10,14,18,-1,69,55,6,-14,6,195,-20,76
-4,9,13,4,-2,1,4,-18,9,31,3,-2,12,-8,33,-12,5,1,13,-4,2,6,416,23,27,9,-7,120,342,24,6,-3,-11,14,-17,16,122,-169,-112
34,15,-8,-16,-3,8,2,137,20,-32,-2,13,2,67,-23,-5,-21,21,15,3,22,0,-1,-21,2,-10,11,-19,-9,-5,-6,-16,14,2,27,4,155,36,-12
-15,1,46,11,-24,13,25,-11,17,1,-12,-13,-23,136,22,12,-4,-4,-13,77,4,-1,14,9,-15,1,-10,2,-14,16,5,2,-17,10,-18,23,161,-4,-29
35,7,-8,-11,-21,2,14,8,12,97,-17,12,51,1,180,63,-5,4,-5,2,30,26,-8,15,-15,54,-12,35,17,26,-1,9,72,25,17,22,168,-67,-97
16,-16,1,39,6,175,-17,9,5,-15,1,34,15,20,-10,23,6,12,-14,22,31,13,3,9,-5,3,5,-22,11,2,-14,16,-7,9,-25,80,170,111,-48
0,-14,-22,-8,-21,-7,36,-1,-24,4,-27,1,74,72,39,23,-9,-20,205,4,18,10,-15,7,36,16,-47,-11,-5,29,1,-1,-33,-7,-31,-5,137,60,84
-21,21,29,43,-17,-5,-6,31,117,10,-3,-11,23,31,34,-12,-2,24,-7,30,-46,7,-23,26,0,13,-18,15,-27,0,14,15,-4,20,-20,6,159,-45,-134
-24,32,30,-3,-1,21,-8,51,-34,12,-15,14,28,4,35,9,-5,-10,-2,8,55,-14,-14,1,-11,97,48,34,2,1,-9,95,4,19,-16,-1,195,-21,75
-14,18,8,17,-2,-23,13,76,19,7,-13,-8,-2,-1,25,-13,-7,-6,6,32,7,-19,-20,-20,4,-19,20,5,-8,3,10,-13,15,-15,11,18,155,35,-12
-2,-2,209,176,12,19,-12,9,13,26,-28,17,-11,28,-6,36,-29,-10,-7,-12,-3,7,-6,-12,-1,15,-2,32,-6,-16,13,-12,219,252,10,1,143,-88,75
-4,-1,-21,19,-2,30,-1,55,10,14,-10,11,33,139,55,22,-3,4,-14,102,-3,7,-12,-16,-19,6,16,34,-12,2,23,-20,30,-16,22,23,161,-4,-24
-11,8,-3,-28,-21,-3,34,3,52,85,-7,-2,8,-12,136,60,15,5,-10,2,35,10,-2,-6,15,-4,26,-5,3,21,41,6,7,11,-2,-6,168,-68,-89
12,24,16,-5,-5,205,-6,10,0,-9,-9,68,-19,-8,-7,15,-8,7,-15,26,1,-8,-19,25,-14,-3,-9,0,-17,5,-11,-6,6,-14,1,80,170,110,-46
31,-6,-6,-15,-5,2,-3,21,7,-27,-11,6,8,58,-4,-5,5,5,122,46,6,13,3,14,8,-1,-19,-40,-1,20,-2,-13,13,-8,-10,3,139,61,86
