"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R13","0402","1325mil","1355mil","1325mil","1355mil","1325mil","1335.315mil","B","90.00","180K"
"R14","0402","1535mil","665mil","1535mil","665mil","1515.315mil","665mil","B","0.00","180K"
"R15","0402","1025mil","120mil","1025mil","120mil","1005.315mil","120mil","B","360.00","180K"
"R16","0402","320mil","295mil","320mil","295mil","320mil","314.685mil","B","270.00","180K"
"R17","0402","100mil","980mil","100mil","980mil","119.685mil","980mil","B","180.00","180K"
"R18","0402","625mil","1520mil","625mil","1520mil","625mil","1500.315mil","B","90.00","180K"
"R6","0402","715mil","840mil","715mil","840mil","715mil","820.315mil","T","90.00","120"
"R5","0402","940mil","825mil","940mil","825mil","940mil","805.315mil","T","90.00","33"
"R55","0402","380mil","960mil","380mil","960mil","380mil","940.315mil","B","90.00","10K"
"R54","0402","895mil","445mil","895mil","445mil","914.685mil","445mil","B","180.00","2.7K"
"R53","0402","820mil","445mil","820mil","445mil","800.315mil","445mil","B","360.00","2.7K"
"R37","0402","825mil","320mil","825mil","320mil","805.315mil","320mil","T","360.00","10K"
"R24","0402","905mil","320mil","905mil","320mil","885.315mil","320mil","T","360.00","43K"
"R21","0402","745mil","320mil","745mil","320mil","725.315mil","320mil","T","360.00","47K"
"R38","0402","425mil","1135mil","425mil","1135mil","405.315mil","1135mil","T","360.00","10K"
"R25","0402","425mil","1100mil","425mil","1100mil","444.685mil","1100mil","T","180.00","43K"
"R22","0402","425mil","1065mil","425mil","1065mil","405.315mil","1065mil","T","360.00","47K"
"R28","0402","540mil","960mil","540mil","960mil","559.685mil","960mil","B","180.00","200K"
"R41","0402","540mil","995mil","540mil","995mil","520.315mil","995mil","B","360.00","33K"
"R29","0402","580mil","1200mil","580mil","1200mil","599.685mil","1200mil","B","180.00","180K"
"R42","0402","580mil","1270mil","580mil","1270mil","560.315mil","1270mil","B","360.00","10K"
"R30","0402","805mil","1415mil","805mil","1415mil","824.685mil","1415mil","B","180.00","180K"
"R43","0402","785mil","1360mil","785mil","1360mil","785mil","1340.315mil","B","90.00","22K"
"R1","0402","785mil","1530mil","785mil","1530mil","804.685mil","1530mil","B","180.00","27"
"R2","0402","1435mil","480mil","1435mil","480mil","1444.843mil","497.048mil","T","240.00","27"
"R3","0402","215mil","475mil","215mil","475mil","224.842mil","457.952mil","T","120.00","27"
"R44","0402","645mil","865mil","645mil","865mil","664.685mil","865mil","T","180.00","10K"
"R45","0402","1000mil","715mil","1000mil","715mil","980.315mil","715mil","T","360.00","10K"
"R46","0402","1005mil","865mil","1005mil","865mil","1024.685mil","865mil","T","180.00","10K"
"R47","0402","1220mil","770mil","1220mil","770mil","1220mil","750.315mil","B","90.00","10K"
"R48","0402","1185mil","770mil","1185mil","770mil","1185mil","750.315mil","B","90.00","10K"
"R49","0402","1150mil","770mil","1150mil","770mil","1150mil","750.315mil","B","90.00","10K"
"R50","0402","1115mil","770mil","1115mil","770mil","1115mil","750.315mil","B","90.00","10K"
"R51","0402","435mil","775mil","435mil","775mil","435mil","794.685mil","B","270.00","10K"
"R52","0402","470mil","775mil","470mil","775mil","470mil","794.685mil","B","270.00","10K"
"LED","RGB_LED","825mil","825mil","825mil","825mil","765.748mil","854.528mil","T","0.00","RGB LED"
"RX1","IR_RECEIVER","1162.5mil","1409.57mil","1162.5mil","1409.57mil","1075.898mil","1459.57mil","B","330.00","IR Receiver"
"RX2","IR_RECEIVER","1500mil","825mil","1500mil","825mil","1500mil","925mil","B","270.00","IR Receiver"
"RX3","IR_RECEIVER","1162.5mil","240.433mil","1162.5mil","240.433mil","1249.102mil","290.433mil","B","210.00","IR Receiver"
"RX4","IR_RECEIVER","487.5mil","240.433mil","487.5mil","240.433mil","574.102mil","190.433mil","B","150.00","IR Receiver"
"RX5","IR_RECEIVER","150mil","825mil","150mil","825mil","150mil","725mil","B","90.00","IR Receiver"
"RX6","IR_RECEIVER","487.5mil","1409.75mil","487.5mil","1409.75mil","400.897mil","1359.75mil","B","30.00","IR Receiver"
"S1","SMD_IR_RX/TX","1199.998mil","1474.524mil","1200mil","1474.52mil","1259.665mil","1440.075mil","B","150.00","IR Sensor"
